,count,titlePaper,citationChicago,citations,link,publishedYear,publishedMonth,locationStudy,"gpsLat, gpsLong",gpsLat,gpsLong,monthsLapsed,radius,red,green,blue
347,171,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78.0,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017.0,1.0,"Berlin-Brandenburg Center for Regenerative Therapies, 13353, Berlin, Germany","52.54027297493494, 13.348358954170456",52.54027297,13.34835895,56,167.2321428571429,1.0,1.0,1.0
119,80,Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo,"Apelgren, Peter, Matteo Amoroso, Anders Lindahl, Camilla Brantsing, Nicole Rotter, Paul Gatenholm, and Lars Kölby. ""Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo."" PLoS One 12, no. 12 (2017): e0189428.",71.0,https://pubmed.ncbi.nlm.nih.gov/29236765/,2017.0,12.0,"Sahlgrenska University Hospital, Sahlgrenska Academy, Göteborg, Sweden","57.686145708675134, 11.975582793895201",57.68614571,11.97558279,45,101.00000000000001,0.048,0.048,0.048
121,80,Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo,"Apelgren, Peter, Matteo Amoroso, Anders Lindahl, Camilla Brantsing, Nicole Rotter, Paul Gatenholm, and Lars Kölby. ""Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo."" PLoS One 12, no. 12 (2017): e0189428.",71.0,https://pubmed.ncbi.nlm.nih.gov/29236765/,2017.0,12.0,"Chalmers University of Technology, Göteborg, Sweden","57.69035061459002, 11.975878289321795",57.69035061,11.97587829,45,101.00000000000001,0.0,0.0,0.0
120,80,Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo,"Apelgren, Peter, Matteo Amoroso, Anders Lindahl, Camilla Brantsing, Nicole Rotter, Paul Gatenholm, and Lars Kölby. ""Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo."" PLoS One 12, no. 12 (2017): e0189428.",71.0,https://pubmed.ncbi.nlm.nih.gov/29236765/,2017.0,12.0,"University Medical Centre Ulm, Ulm, Germany","48.428436448531045, 9.971446801598733",48.42843645,9.971446802,45,101.00000000000001,0.048,0.048,0.048
374,190,Enhanced Immunosuppression of T Cells by Sustained Presentation of Bioactive Interferon-γ Within Three-dimensional Mesenchymal Stem Cell Constructs,"Zimmermann, Joshua A., Marian H. Hettiaratchi, and Todd C. McDevitt. ""Enhanced immunosuppression of T cells by sustained presentation of bioactive interferon‐γ within three‐dimensional mesenchymal stem cell constructs."" Stem cells translational medicine 6, no. 1 (2017): 223-237.",67.0,https://pubmed.ncbi.nlm.nih.gov/28170190/,2017.0,1.0,"Gladstone Institute of Cardiovascular Disease, San Francisco, California, USA","37.76859569115785, -122.39278253751102",37.76859569,-122.3927825,56,144.64285714285714,1.0,1.0,1.0
373,190,Enhanced Immunosuppression of T Cells by Sustained Presentation of Bioactive Interferon-γ Within Three-dimensional Mesenchymal Stem Cell Constructs,"Zimmermann, Joshua A., Marian H. Hettiaratchi, and Todd C. McDevitt. ""Enhanced immunosuppression of T cells by sustained presentation of bioactive interferon‐γ within three‐dimensional mesenchymal stem cell constructs."" Stem cells translational medicine 6, no. 1 (2017): 223-237.",67.0,https://pubmed.ncbi.nlm.nih.gov/28170190/,2017.0,1.0,"Georgia Institute of Technology, Atlanta, Georgia","33.77841125473837, -84.39839540751422",33.77841125,-84.39839541,56,144.64285714285714,0.8772,0.8772,0.8772
315,158,Acoustophoretic Printing,"Foresti, Daniele, Katharina T. Kroll, Robert Amissah, Francesco Sillani, Kimberly A. Homan, Dimos Poulikakos, and Jennifer A. Lewis. ""Acoustophoretic printing."" Science advances 4, no. 8 (2018): eaat1659.",66.0,https://pubmed.ncbi.nlm.nih.gov/30182058/,2018.0,8.0,"Wyss Institute for Biologically Inspired Engineering, Harvard University, Cambridge, MA","42.339345386252425, -71.10146763634239",42.33934539,-71.10146764,37,41.21621621621621,0.8692,0.8692,0.8692
316,158,Acoustophoretic Printing,"Foresti, Daniele, Katharina T. Kroll, Robert Amissah, Francesco Sillani, Kimberly A. Homan, Dimos Poulikakos, and Jennifer A. Lewis. ""Acoustophoretic printing."" Science advances 4, no. 8 (2018): eaat1659.",66.0,https://pubmed.ncbi.nlm.nih.gov/30182058/,2018.0,8.0,"ETH Zurich, Sonneggstrasse 3, CH-8092 Zurich, Switzerland","47.376476390099526, 8.548147570131514",47.37647639,8.54814757,37,41.21621621621621,0.9532,0.9532,0.9532
100,66,Procoagulant activity of human mesenchymal stem cells,"Christy, Barbara A., Maryanne C. Herzig, Robbie K. Montgomery, Christopher Delavan, James A. Bynum, Kristin M. Reddoch, and Andrew P. Cap. ""Procoagulant activity of human mesenchymal stem cells."" Journal of Trauma and Acute Care Surgery 83, no. 1 (2017): S164-S169.",63.0,https://pubmed.ncbi.nlm.nih.gov/28628602/,2017.0,7.0,"University of Texas Health Science Center at San Antonio, San Antonio, Texas","29.50795064730581, -98.5709747745826",29.50795065,-98.57097477,50,113.80000000000001,0.09,0.09,0.09
352,175,Collagen Hydrogel Scaffold Promotes Mesenchymal Stem Cell and Endothelial Cell Coculture for Bone Tissue Engineering,"Nguyen, Bao‐Ngoc B., Rebecca A. Moriarty, Tim Kamalitdinov, Julie M. Etheridge, and John P. Fisher. ""C ollagen hydrogel scaffold promotes mesenchymal stem cell and endothelial cell coculture for bone tissue engineering."" Journal of Biomedical Materials Research Part A 105, no. 4 (2017): 1123-1131.",63.0,https://pubmed.ncbi.nlm.nih.gov/28093887/,2017.0,4.0,"University of Maryland, College Park, Maryland","38.98755176704997, -76.94379888012814",38.98755177,-76.94379888,53,125.75471698113206,0.0,0.0,0.0
149,95,Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties,"Buitrago, Jennifer O., Kapil D. Patel, Ahmed El-Fiqi, Jung-Hwan Lee, Banani Kundu, Hae-Hyoung Lee, and Hae-Won Kim. ""Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties."" Acta biomaterialia 69 (2018): 218-233.",58.0,https://www.sciencedirect.com/science/article/abs/pii/S1742706117307924,2018.0,3.0,"National Research Centre, Cairo, Egypt","30.036661758413892, 31.20671762837946",30.03666176,31.20671763,42,68.21428571428571,0.8872,0.8872,0.8872
148,95,Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties,"Buitrago, Jennifer O., Kapil D. Patel, Ahmed El-Fiqi, Jung-Hwan Lee, Banani Kundu, Hae-Hyoung Lee, and Hae-Won Kim. ""Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties."" Acta biomaterialia 69 (2018): 218-233.",58.0,https://www.sciencedirect.com/science/article/abs/pii/S1742706117307924,2018.0,3.0,"Dankook University, South Korea","37.32228063864897, 127.12696484060373",37.32228064,127.1269648,42,68.21428571428571,1.0,1.0,1.0
371,188,Synthesis and Biological Evaluation of Well-Defined Poly(propylene fumarate) Oligomers and Their Use in 3D Printed Scaffolds,"Luo, Yuanyuan, Courtney K. Dolder, Jason M. Walker, Ruchi Mishra, David Dean, and Matthew L. Becker. ""Synthesis and biological evaluation of well-defined poly (propylene fumarate) oligomers and their use in 3D printed scaffolds."" Biomacromolecules 17, no. 2 (2016): 690-697.",55.0,https://pubmed.ncbi.nlm.nih.gov/26771388/,2016.0,2.0,"The Ohio State University , Columbus, Ohio","40.00726366294604, -83.02929592050965",40.00726366,-83.02929592,67,147.08955223880596,0.003,0.003,0.003
370,188,Synthesis and Biological Evaluation of Well-Defined Poly(propylene fumarate) Oligomers and Their Use in 3D Printed Scaffolds,"Luo, Yuanyuan, Courtney K. Dolder, Jason M. Walker, Ruchi Mishra, David Dean, and Matthew L. Becker. ""Synthesis and biological evaluation of well-defined poly (propylene fumarate) oligomers and their use in 3D printed scaffolds."" Biomacromolecules 17, no. 2 (2016): 690-697.",55.0,https://pubmed.ncbi.nlm.nih.gov/26771388/,2016.0,2.0,"University of Akron , Akron, Ohio","41.08120211982621, -81.52079457352063",41.08120212,-81.52079457,67,147.08955223880596,0.0,0.0,0.0
70,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,The Samuel Oschin Comprehensive Cancer Institute at the Cedars-Sinai Medical Center,"34.07558055388596, -118.37956238861813",34.07558055,-118.3795624,63,138.33333333333331,0.9852,0.9852,0.9852
69,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,"The Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, United States","39.318299905938495, -76.66145636195098",39.31829991,-76.66145636,63,138.33333333333331,0.8652,0.8652,0.8652
68,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,"Harvard Medical School, United States","42.335817589356644, -71.103953296818",42.33581759,-71.1039533,63,138.33333333333331,0.8612,0.8612,0.8612
67,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,"Center for Regenerative Therapeutics, Brigham and Women's Hospital,","42.33636357260229, -71.10723459707721",42.33636357,-71.1072346,63,138.33333333333331,0.9752,0.9752,0.9752
332,165,Characterising the Phenotypic Evolution of Circulating Tumour Cells During Treatment,"Tsao, Simon Chang-Hao, Jing Wang, Yuling Wang, Andreas Behren, Jonathan Cebon, and Matt Trau. ""Characterising the phenotypic evolution of circulating tumour cells during treatment."" Nature communications 9, no. 1 (2018): 1-10.",54.0,https://pubmed.ncbi.nlm.nih.gov/29662054/,2018.0,4.0,"University of Queensland, Brisbane","-27.496969584782367, 153.016437041703",-27.49696958,153.016437,41,58.65853658536586,0.8592,0.8592,0.8592
333,165,Characterising the Phenotypic Evolution of Circulating Tumour Cells During Treatment,"Tsao, Simon Chang-Hao, Jing Wang, Yuling Wang, Andreas Behren, Jonathan Cebon, and Matt Trau. ""Characterising the phenotypic evolution of circulating tumour cells during treatment."" Nature communications 9, no. 1 (2018): 1-10.",54.0,https://pubmed.ncbi.nlm.nih.gov/29662054/,2018.0,4.0,"Olivia Newton-John Cancer Research Institute, Heidelberg, VIC","-37.75630265066211, 145.0637126596674",-37.75630265,145.0637127,41,58.65853658536586,0.9232,0.9232,0.9232
86,55,Controlling Adult Stem Cell Behavior Using Nanodiamond-Reinforced Hydrogel: Implication in Bone Regeneration Therapy,"Pacelli, Settimio, Ryan Maloney, Aparna R. Chakravarti, Jonathan Whitlow, Sayantani Basu, Saman Modaresi, Stevin Gehrke, and Arghya Paul. ""Controlling adult stem cell behavior using nanodiamond-reinforced hydrogel: implication in bone regeneration therapy."" Scientific reports 7, no. 1 (2017): 1-15.",50.0,https://pubmed.ncbi.nlm.nih.gov/28747768/,2017.0,7.0,"University of Kansas, Lawrence, KS","38.955144520373125, -95.25605362736788",38.95514452,-95.25605363,50,91.7,0.051,0.051,0.051
342,169,Mesenchymal Stem Cell-derived Extracellular Vesicles Attenuate Pulmonary Vascular Permeability and Lung Injury Induced by Hemorrhagic Shock and Trauma,"Potter, Daniel R., Byron Y. Miyazawa, Stuart L. Gibb, Xutao Deng, Padma P. Togaratti, Roxanne H. Croze, Amit K. Srivastava et al. ""Mesenchymal stem cell-derived extracellular vesicles attenuate pulmonary vascular permeability and lung injury induced by hemorrhagic shock and trauma."" The journal of trauma and acute care surgery 84, no. 2 (2018): 245.",50.0,https://pubmed.ncbi.nlm.nih.gov/29251710/,2018.0,2.0,University of California at San Francisco,"37.76227238076338, -122.45918270457813",37.76227238,-122.4591827,43,64.30232558139535,0.8572,0.8572,0.8572
343,169,Mesenchymal Stem Cell-derived Extracellular Vesicles Attenuate Pulmonary Vascular Permeability and Lung Injury Induced by Hemorrhagic Shock and Trauma,"Potter, Daniel R., Byron Y. Miyazawa, Stuart L. Gibb, Xutao Deng, Padma P. Togaratti, Roxanne H. Croze, Amit K. Srivastava et al. ""Mesenchymal stem cell-derived extracellular vesicles attenuate pulmonary vascular permeability and lung injury induced by hemorrhagic shock and trauma."" The journal of trauma and acute care surgery 84, no. 2 (2018): 245.",50.0,https://pubmed.ncbi.nlm.nih.gov/29251710/,2018.0,2.0,"McGovern Medical School, University of Texas Health Sciences Center at Houston, Houston, Texas","29.71282967595181, -95.39539805574744",29.71282968,-95.39539806,43,64.30232558139535,1.0,1.0,1.0
344,169,Mesenchymal Stem Cell-derived Extracellular Vesicles Attenuate Pulmonary Vascular Permeability and Lung Injury Induced by Hemorrhagic Shock and Trauma,"Potter, Daniel R., Byron Y. Miyazawa, Stuart L. Gibb, Xutao Deng, Padma P. Togaratti, Roxanne H. Croze, Amit K. Srivastava et al. ""Mesenchymal stem cell-derived extracellular vesicles attenuate pulmonary vascular permeability and lung injury induced by hemorrhagic shock and trauma."" The journal of trauma and acute care surgery 84, no. 2 (2018): 245.",50.0,https://pubmed.ncbi.nlm.nih.gov/29251710/,2018.0,2.0,"Oregon Health & Science University, Portland, Oregon","45.49861533810458, -122.68471950964957",45.49861534,-122.6847195,43,64.30232558139535,0.8712,0.8712,0.8712
0,1,Peak MSC—Are We There Yet?,"Olsen, Timothy R., Kelvin S. Ng, Lye T. Lock, Tabassum Ahsan, and Jon A. Rowley. ""Peak MSC—are we there yet?."" Frontiers in medicine 5 (2018): 178.",50.0,https://www.frontiersin.org/articles/10.3389/fmed.2018.00178/full,2018.0,6.0,"Rooster Bio, Fredrick, MD","39.38210713013573, -77.41519021748248",39.38210713,-77.41519022,39,44.23076923076923,0.15,0.15,0.15
105,69,Thy-1 Dependent Uptake of Mesenchymal Stem Cell-derived Extracellular Vesicles Blocks Myofibroblastic Differentiation,"Shentu, Tzu-Pin, Tse-Shun Huang, Mateja Cernelc-Kohan, Joy Chan, Simon S. Wong, Celia R. Espinoza, Chunting Tan et al. ""Thy-1 dependent uptake of mesenchymal stem cell-derived extracellular vesicles blocks myofibroblastic differentiation."" Scientific reports 7, no. 1 (2017): 1-11.",49.0,https://pubmed.ncbi.nlm.nih.gov/29273797/,2017.0,12.0,"University of California-San Diego, La Jolla, California","32.88135343812438, -117.2335912948138",32.88135344,-117.2335913,45,71.66666666666667,0.8972,0.8972,0.8972
10,8,Serum-free media formulations are cell line-specific and require optimization for microcarrier culture,"Tan, Kah Yong, Kim Leng Teo, Jessica FY Lim, Allen KL Chen, Shaul Reuveny, and Steve KW Oh. ""Serum-free media formulations are cell line–specific and require optimization for microcarrier culture."" Cytotherapy 17, no. 8 (2015): 1152-1165.",47.0,https://pubmed.ncbi.nlm.nih.gov/26139547/,2015.0,8.0,"Agency for Science, Technology and Research (A*STAR), Centros, Singapore","1.2991091740040848, 103.78750072295536",1.299109174,103.7875007,73,136.50684931506848,0.9952,0.9952,0.9952
345,170,Bioprocess Integration for Human Mesenchymal Stem Cells: From Up to Downstream Processing Scale-up to Cell Proteome Characterization,"Cunha, Bárbara, Tiago Aguiar, Sofia B. Carvalho, Marta M. Silva, Ricardo A. Gomes, Manuel JT Carrondo, Patrícia Gomes-Alves, Cristina Peixoto, Margarida Serra, and Paula M. Alves. ""Bioprocess integration for human mesenchymal stem cells: from up to downstream processing scale-up to cell proteome characterization."" Journal of biotechnology 248 (2017): 87-98.",45.0,https://pubmed.ncbi.nlm.nih.gov/28174039/,2017.0,4.0,"Instituto de Biologia Experimental e Tecnológica, Apartado 12, 2780-901 Oeiras, Portugal","38.69661905881286, -9.320585936499596",38.69661906,-9.320585936,53,91.7924528301887,0.9632,0.9632,0.9632
150,96,"Cells as Advanced Therapeutics: State-of-the-art, Challenges, and Opportunities in Large Scale Biomanufacturing of High-quality Cells for Adoptive Immunotherapies","Dwarshuis, Nate J., Kirsten Parratt, Adriana Santiago-Miranda, and Krishnendu Roy. ""Cells as advanced therapeutics: State-of-the-art, challenges, and opportunities in large scale biomanufacturing of high-quality cells for adoptive immunotherapies."" Advanced drug delivery reviews 114 (2017): 222-239.",42.0,https://pubmed.ncbi.nlm.nih.gov/28625827/,2017.0,5.0,"Georgia Institute of Technology, Atlanta, GA","33.77622391514814, -84.39761541333719",33.77622392,-84.39761541,52,83.55769230769229,0.8812,0.8812,0.8812
308,154,Harnessing the Noncovalent Interactions of DNA Backbone with 2D Silicate Nanodisks To Fabricate Injectable Therapeutic Hydrogels,"Basu, Sayantani, Settimio Pacelli, Yi Feng, Qinghua Lu, Jinxi Wang, and Arghya Paul. ""Harnessing the noncovalent interactions of DNA backbone with 2D silicate nanodisks to fabricate injectable therapeutic hydrogels."" ACS nano 12, no. 10 (2018): 9866-9880.",42.0,https://pubmed.ncbi.nlm.nih.gov/30189128/,2018.0,10.0,"University of Kansas , Lawrence , Kansas","38.95487754051839, -95.25974434664545",38.95487754,-95.25974435,35,17.285714285714285,0.066,0.066,0.066
348,172,Biodegradable Poly-ε-caprolactone Microcarriers for Efficient Production of Human Mesenchymal Stromal Cells and Secreted Cytokines in Batch and Fed-batch Bioreactors,"Lam, Alan Tin-Lun, Jian Li, Jessica Pei-Wen Toh, Eileen Jia-Hui Sim, Allen Kuan-Liang Chen, Jerry Kok-Yen Chan, Mahesh Choolani, Shaul Reuveny, William R. Birch, and Steve Kah-Weng Oh. ""Biodegradable poly-ε-caprolactone microcarriers for efficient production of human mesenchymal stromal cells and secreted cytokines in batch and fed-batch bioreactors."" Cytotherapy 19, no. 3 (2017): 419-432.",41.0,https://pubmed.ncbi.nlm.nih.gov/28017598/,2017.0,3.0,"Agency for Science, Technology and Research (A*STAR), Singapore","1.2991735192438922, 103.7863205173413",1.299173519,103.7863205,54,86.66666666666666,1.0,1.0,1.0
158,102,Fabrication and evaluation of 3D printed BCP scaffolds reinforced with ZrO2 for bone tissue applications,"Sa, Min‐Woo, Bao‐Ngoc B. Nguyen, Rebecca A. Moriarty, Timur Kamalitdinov, John P. Fisher, and Jong Young Kim. ""Fabrication and evaluation of 3D printed BCP scaffolds reinforced with ZrO2 for bone tissue applications."" Biotechnology and bioengineering 115, no. 4 (2018): 989-999.",39.0,https://pubmed.ncbi.nlm.nih.gov/29240243/,2018.0,1.0,"University of Maryland, College Park, Maryland","38.9872515486372, -76.94328389611618",38.98725155,-76.9432839,44,55.0,0.123,0.123,0.123
159,102,Fabrication and evaluation of 3D printed BCP scaffolds reinforced with ZrO2 for bone tissue applications,"Sa, Min‐Woo, Bao‐Ngoc B. Nguyen, Rebecca A. Moriarty, Timur Kamalitdinov, John P. Fisher, and Jong Young Kim. ""Fabrication and evaluation of 3D printed BCP scaffolds reinforced with ZrO2 for bone tissue applications."" Biotechnology and bioengineering 115, no. 4 (2018): 989-999.",39.0,https://pubmed.ncbi.nlm.nih.gov/29240243/,2018.0,1.0,"Andong National University, Andong-si, Korea","36.54334523133374, 128.7974342095512",36.54334523,128.7974342,44,55.0,0.0,0.0,0.0
157,102,Fabrication and evaluation of 3D printed BCP scaffolds reinforced with ZrO2 for bone tissue applications,"Sa, Min‐Woo, Bao‐Ngoc B. Nguyen, Rebecca A. Moriarty, Timur Kamalitdinov, John P. Fisher, and Jong Young Kim. ""Fabrication and evaluation of 3D printed BCP scaffolds reinforced with ZrO2 for bone tissue applications."" Biotechnology and bioengineering 115, no. 4 (2018): 989-999.",39.0,https://pubmed.ncbi.nlm.nih.gov/29240243/,2018.0,1.0,"Research Institute, SJ TOOLS, Daegu, Korea","35.883358408423526, 128.73034490924456",35.88335841,128.7303449,44,55.0,0.0,0.0,0.0
4,3,3D printed biofunctionalized scaffolds for microfracture repair of cartilage defects,"Guo, Ting, Maeesha Noshin, Hannah B. Baker, Evin Taskoy, Sean J. Meredith, Qinggong Tang, Julia P. Ringel et al. ""3D printed biofunctionalized scaffolds for microfracture repair of cartilage defects."" Biomaterials 185 (2018): 219-231.",37.0,https://pubmed.ncbi.nlm.nih.gov/30248646/,2018.0,9.0,"National Institute of Standards and Technology, Gaithersburg, MD","39.14034624844112, -77.21839022926984",39.14034625,-77.21839023,36,20.833333333333336,1.0,1.0,1.0
3,3,3D printed biofunctionalized scaffolds for microfracture repair of cartilage defects,"Guo, Ting, Maeesha Noshin, Hannah B. Baker, Evin Taskoy, Sean J. Meredith, Qinggong Tang, Julia P. Ringel et al. ""3D printed biofunctionalized scaffolds for microfracture repair of cartilage defects."" Biomaterials 185 (2018): 219-231.",37.0,https://pubmed.ncbi.nlm.nih.gov/30248646/,2018.0,9.0,"Fischell Department of Bioengineering, University of Maryland, College Park, MD","38.99187409508044, -76.93745958324428",38.9918741,-76.93745958,36,20.833333333333336,0.9332,0.9332,0.9332
